Reference, Value, Footprint, Datasheet
"U1","SZBK07_DC-DC_module","",""
"SC1","Solar_Cells","",""
"Q3","IRFZ44N","TO-220",""
"BT1","Battery","",""
"D2","1N4148","",""
"D3","1N4148","",""
"Q2","2N3904","",""
"Q1","2N3904","",""
"R2","47K","",""
"R3","47K","",""
"D1","1N4742","",""
"R1","22K","",""
"U2","AD822A","",""
"R7","3.3K","",""
"R8","100K","",""
"R5","390K","",""
"R9","10K","",""
"C1","C","",""
"R6","150K","",""
"R10","10K","",""
"C2","0.1uF","",""
"D4","1N4148","",""
"R4","22K","",""
"U3","MP2307_DC-DC_module","",""
"U4","ArduinoNano","",""
